doc_id,doc_type,dataset,domain,language,page_count,eff_pages,page_ranges,layout_tags,api_key,corpus_path,src_path
academic_paper__2023.acl-long.386,academic_paper,mmdocir,Academic paper,en,24,24,,,B,corpus\academic_paper\academic_paper__2023.acl-long.386.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\2023.acl-long.386.pdf
academic_paper__2309.17421v2,academic_paper,mmdocir,Academic paper,en,166,50,1-50,,B,corpus\academic_paper\academic_paper__2309.17421v2.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\2309.17421v2.pdf
academic_paper__D18-1034,academic_paper,mmdocir,Academic paper,en,11,11,,,A,corpus\academic_paper\academic_paper__D18-1034.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\D18-1034.pdf
academic_paper__D18-1334,academic_paper,mmdocir,Academic paper,en,6,6,,,C,corpus\academic_paper\academic_paper__D18-1334.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\D18-1334.pdf
academic_paper__N18-1012,academic_paper,mmdocir,Academic paper,en,12,12,,,C,corpus\academic_paper\academic_paper__N18-1012.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\N18-1012.pdf
academic_paper__N18-1187,academic_paper,mmdocir,Academic paper,en,10,10,,,B,corpus\academic_paper\academic_paper__N18-1187.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\N18-1187.pdf
academic_paper__P19-1459,academic_paper,mmdocir,Academic paper,en,7,7,,,B,corpus\academic_paper\academic_paper__P19-1459.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\P19-1459.pdf
academic_paper__W19-5302,academic_paper,mmdocir,Academic paper,en,29,29,,,C,corpus\academic_paper\academic_paper__W19-5302.pdf,<DATASET_ROOT>\datasets\mmdocir\extracted\doc_pdfs\W19-5302.pdf
academic_paper__arxiv-1706-03762,academic_paper,pdf_corpus,research_paper,en,15,15,,figures;multi_column;tables;text,B,corpus\academic_paper\academic_paper__arxiv-1706-03762.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\academic\arxiv-1706-03762.pdf
academic_paper__arxiv-2005-11401,academic_paper,pdf_corpus,research_paper,en,19,19,,figures;multi_column;tables;text,A,corpus\academic_paper\academic_paper__arxiv-2005-11401.pdf,<DATASET_ROOT>\datasets\pdf_corpus_v1\raw\academic\arxiv-2005-11401.pdf
